Attrition,Business Travel,CF_age band,CF_attrition label,Department,Education Field,emp no,Employee Number,Gender,Job Role,Marital Status,Over Time,Over18,Training Times Last Year,Age,CF_current Employee,Daily Rate,Distance From Home,Education,Employee Count,Environment Satisfaction,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
Yes,Travel_Rarely,35 - 44,Ex-Employees,Sales,Life Sciences,STAFF-1,1,Female,Sales Executive,Single,Yes,Y,0,41,0,1102,1,Associates Degree,1,2,94,3,2,4,5993,19479,8,11,3,1,80,0,8,1,6,4,0,5
No,Travel_Frequently,45 - 54,Current Employees,R&D,Life Sciences,STAFF-2,2,Male,Research Scientist,Married,No,Y,3,49,1,279,8,High School,1,3,61,2,2,2,5130,24907,1,23,4,4,80,1,10,3,10,7,1,7
Yes,Travel_Rarely,35 - 44,Ex-Employees,R&D,Other,STAFF-4,4,Male,Laboratory Technician,Single,Yes,Y,3,37,0,1373,2,Associates Degree,1,4,92,2,1,3,2090,2396,6,15,3,2,80,0,7,3,0,0,0,0
No,Travel_Frequently,25 - 34,Current Employees,R&D,Life Sciences,STAFF-5,5,Female,Research Scientist,Married,Yes,Y,3,33,1,1392,3,Master's Degree,1,4,56,3,1,3,2909,23159,1,11,3,3,80,0,8,3,8,7,3,0
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-7,7,Male,Laboratory Technician,Married,No,Y,3,27,1,591,2,High School,1,1,40,3,1,2,3468,16632,9,12,3,4,80,1,6,3,2,2,2,2
No,Travel_Frequently,25 - 34,Current Employees,R&D,Life Sciences,STAFF-8,8,Male,Laboratory Technician,Single,No,Y,2,32,1,1005,2,Associates Degree,1,4,79,3,1,4,3068,11864,0,13,3,3,80,0,8,2,7,7,3,6
No,Travel_Rarely,Over 55,Current Employees,R&D,Medical,STAFF-10,10,Female,Laboratory Technician,Married,Yes,Y,3,59,1,1324,3,Bachelor's Degree,1,3,81,4,1,1,2670,9964,4,20,4,1,80,3,12,2,1,0,0,0
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-11,11,Male,Laboratory Technician,Divorced,No,Y,2,30,1,1358,24,High School,1,4,67,3,1,3,2693,13335,1,22,4,2,80,1,1,3,1,0,0,0
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-12,12,Male,Manufacturing Director,Single,No,Y,2,38,1,216,23,Bachelor's Degree,1,4,44,2,3,3,9526,8787,0,21,4,2,80,0,10,3,9,7,1,8
No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-13,13,Male,Healthcare Representative,Married,No,Y,3,36,1,1299,27,Bachelor's Degree,1,3,94,3,2,3,5237,16577,6,13,3,2,80,2,17,2,7,7,7,7
No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-14,14,Male,Laboratory Technician,Married,No,Y,5,35,1,809,16,Bachelor's Degree,1,1,84,4,1,2,2426,16479,0,13,3,3,80,1,6,3,5,4,0,3
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-15,15,Female,Laboratory Technician,Single,Yes,Y,3,29,1,153,15,Associates Degree,1,4,49,2,2,3,4193,12682,0,12,3,4,80,0,10,3,9,5,0,8
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-16,16,Male,Research Scientist,Divorced,No,Y,1,31,1,670,26,High School,1,1,31,3,1,3,2911,15170,1,17,3,4,80,1,5,2,5,2,4,3
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-18,18,Male,Laboratory Technician,Divorced,No,Y,2,34,1,1346,19,Associates Degree,1,2,93,3,1,4,2661,8758,0,11,3,3,80,1,3,3,2,2,1,2
Yes,Travel_Rarely,25 - 34,Ex-Employees,R&D,Life Sciences,STAFF-19,19,Male,Laboratory Technician,Single,Yes,Y,4,28,0,103,24,Bachelor's Degree,1,3,50,2,1,3,2028,12947,5,14,3,2,80,0,6,3,4,2,0,3
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-20,20,Female,Manufacturing Director,Divorced,No,Y,1,29,1,1389,21,Master's Degree,1,2,51,4,3,1,9980,10195,1,11,3,3,80,1,10,3,10,9,8,8
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-21,21,Male,Research Scientist,Divorced,Yes,Y,5,32,1,334,5,Associates Degree,1,1,80,4,1,2,3298,15053,0,12,3,4,80,2,7,2,6,2,0,5
No,Non-Travel,Under 25,Current Employees,R&D,Medical,STAFF-22,22,Male,Laboratory Technician,Divorced,Yes,Y,2,22,1,1123,16,Associates Degree,1,4,96,4,1,4,2935,7324,1,13,3,2,80,2,1,2,1,0,0,0
No,Travel_Rarely,45 - 54,Current Employees,Sales,Life Sciences,STAFF-23,23,Female,Manager,Married,No,Y,3,53,1,1219,2,Master's Degree,1,1,78,2,4,4,15427,22021,2,16,3,3,80,0,31,3,25,8,3,7
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-24,24,Male,Research Scientist,Single,Yes,Y,3,38,1,371,2,Bachelor's Degree,1,4,45,3,1,4,3944,4306,5,11,3,3,80,0,6,3,3,2,1,2
No,Non-Travel,Under 25,Current Employees,R&D,Other,STAFF-26,26,Female,Manufacturing Director,Divorced,No,Y,5,24,1,673,11,Associates Degree,1,1,96,4,2,3,4011,8232,0,18,3,4,80,1,5,2,4,2,1,3
Yes,Travel_Rarely,35 - 44,Ex-Employees,Sales,Life Sciences,STAFF-27,27,Male,Sales Representative,Single,No,Y,4,36,0,1218,9,Master's Degree,1,3,82,2,1,1,3407,6986,7,23,4,2,80,0,10,3,5,3,0,3
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-28,28,Female,Research Director,Single,No,Y,4,34,1,419,7,Master's Degree,1,1,53,3,3,2,11994,21293,0,11,3,3,80,0,13,3,12,6,2,11
No,Travel_Rarely,Under 25,Current Employees,R&D,Life Sciences,STAFF-30,30,Male,Research Scientist,Single,No,Y,6,21,1,391,15,Associates Degree,1,3,96,3,1,4,1232,19281,1,14,3,4,80,0,0,3,0,0,0,0
Yes,Travel_Rarely,25 - 34,Ex-Employees,R&D,Medical,STAFF-31,31,Male,Research Scientist,Single,No,Y,2,34,0,699,6,High School,1,2,83,3,1,1,2960,17102,2,11,3,3,80,0,8,3,4,2,1,3
No,Travel_Rarely,45 - 54,Current Employees,R&D,Other,STAFF-32,32,Female,Manager,Divorced,No,Y,3,53,1,1282,5,Bachelor's Degree,1,3,58,3,5,3,19094,10735,4,11,3,4,80,1,26,2,14,13,4,8
Yes,Travel_Frequently,25 - 34,Ex-Employees,R&D,Life Sciences,STAFF-33,33,Female,Research Scientist,Single,Yes,Y,5,32,0,1125,16,High School,1,2,72,1,1,1,3919,4681,1,22,4,2,80,0,10,3,10,2,6,7
No,Travel_Rarely,35 - 44,Current Employees,Sales,Marketing,STAFF-35,35,Male,Sales Executive,Married,No,Y,2,42,1,691,8,Master's Degree,1,3,48,3,2,2,6825,21173,0,11,3,4,80,1,10,3,9,7,4,2
No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-36,36,Female,Healthcare Representative,Married,No,Y,4,44,1,477,7,Master's Degree,1,1,42,2,3,4,10248,2094,3,14,3,4,80,1,24,3,22,6,5,17
No,Travel_Rarely,45 - 54,Current Employees,Sales,Marketing,STAFF-38,38,Female,Manager,Single,No,Y,2,46,1,705,2,Master's Degree,1,2,83,3,5,1,18947,22822,3,12,3,4,80,0,22,2,2,2,2,1
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-39,39,Male,Laboratory Technician,Single,No,Y,3,33,1,924,2,Bachelor's Degree,1,3,78,3,1,4,2496,6670,4,11,3,4,80,0,7,3,1,1,0,0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Other,STAFF-40,40,Male,Healthcare Representative,Married,Yes,Y,5,44,1,1459,10,Master's Degree,1,4,41,3,2,4,6465,19121,2,13,3,4,80,0,9,4,4,2,1,3
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-41,41,Male,Laboratory Technician,Single,No,Y,5,30,1,125,9,Associates Degree,1,4,83,2,1,3,2206,16117,1,13,3,1,80,0,10,3,10,0,1,8
Yes,Travel_Rarely,35 - 44,Ex-Employees,Sales,Technical Degree,STAFF-42,42,Male,Sales Representative,Married,No,Y,6,39,0,895,5,Bachelor's Degree,1,4,56,3,2,4,2086,3335,3,14,3,3,80,1,19,4,1,0,0,0
Yes,Travel_Rarely,Under 25,Ex-Employees,R&D,Medical,STAFF-45,45,Male,Research Scientist,Married,Yes,Y,2,24,0,813,1,Bachelor's Degree,1,2,61,3,1,4,2293,3020,2,16,3,1,80,1,6,2,2,0,2,0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-46,46,Female,Research Scientist,Divorced,No,Y,3,43,1,1273,2,Associates Degree,1,4,72,4,1,3,2645,21923,1,12,3,4,80,2,6,2,5,3,1,4
Yes,Travel_Rarely,45 - 54,Ex-Employees,Sales,Marketing,STAFF-47,47,Male,Sales Representative,Married,Yes,Y,2,50,0,869,3,Associates Degree,1,1,86,2,1,3,2683,3810,1,14,3,3,80,0,3,3,3,2,0,2
No,Travel_Rarely,35 - 44,Current Employees,Sales,Marketing,STAFF-49,49,Female,Sales Representative,Married,No,Y,3,35,1,890,2,Bachelor's Degree,1,4,97,3,1,4,2014,9687,1,13,3,1,80,0,2,3,2,2,2,2
